total_runs,wickets,target,balls_left,won
0,0,125,119,1
0,0,125,118,1
1,0,125,117,1
1,1,125,116,1
1,1,125,115,1
2,1,125,114,1
2,1,125,113,1
2,1,125,112,1
2,1,125,111,1
4,1,125,110,1
4,2,125,109,1
5,2,125,108,1
6,2,125,107,1
6,2,125,106,1
8,2,125,105,1
8,2,125,104,1
8,2,125,103,1
10,2,125,102,1
10,2,125,101,1
14,2,125,101,1
18,2,125,100,1
19,2,125,99,1
25,2,125,98,1
31,2,125,97,1
31,2,125,96,1
32,2,125,95,1
32,2,125,94,1
32,2,125,93,1
33,2,125,92,1
37,2,125,91,1
41,2,125,90,1
43,2,125,89,1
43,2,125,89,1
43,2,125,88,1
48,2,125,87,1
54,2,125,86,1
56,2,125,85,1
57,2,125,84,1
57,2,125,83,1
58,2,125,83,1
59,2,125,82,1
60,2,125,81,1
62,2,125,80,1
62,2,125,79,1
62,2,125,78,1
62,2,125,77,1
62,2,125,76,1
66,2,125,75,1
72,2,125,74,1
76,2,125,73,1
77,2,125,72,1
77,2,125,71,1
77,2,125,70,1
77,2,125,69,1
77,2,125,68,1
77,2,125,67,1
78,2,125,66,1
79,2,125,65,1
80,2,125,64,1
81,2,125,63,1
82,2,125,62,1
82,2,125,61,1
82,2,125,60,1
82,2,125,59,1
82,2,125,58,1
84,2,125,57,1
86,2,125,56,1
87,2,125,55,1
91,2,125,54,1
92,2,125,53,1
93,2,125,52,1
93,2,125,51,1
94,2,125,50,1
95,2,125,49,1
99,2,125,48,1
100,2,125,47,1
100,2,125,46,1
106,2,125,45,1
107,2,125,44,1
111,2,125,43,1
111,2,125,42,1
111,2,125,41,1
112,2,125,40,1
113,2,125,39,1
113,3,125,38,1
113,3,125,37,1
113,3,125,36,1
113,3,125,35,1
117,3,125,34,1
117,3,125,33,1
117,3,125,32,1
118,3,125,31,1
118,3,125,30,1
119,3,125,29,1
125,3,125,28,1
125,3,125,27,1
125,3,125,26,1
131,3,125,25,1
0,0,145,119,0
1,0,145,118,0
5,0,145,117,0
9,0,145,116,0
9,1,145,115,0
14,1,145,114,0
14,1,145,113,0
14,1,145,113,0
18,1,145,112,0
18,1,145,111,0
18,1,145,110,0
22,1,145,109,0
26,1,145,108,0
27,1,145,107,0
27,1,145,106,0
27,1,145,105,0
27,1,145,104,0
27,1,145,103,0
27,1,145,102,0
27,1,145,101,0
27,1,145,101,0
28,1,145,100,0
29,1,145,99,0
30,1,145,98,0
30,2,145,97,0
30,2,145,96,0
30,2,145,95,0
30,2,145,94,0
30,2,145,95,0
31,2,145,94,0
31,2,145,93,0
32,2,145,92,0
33,2,145,91,0
34,2,145,90,0
35,2,145,89,0
37,2,145,88,0
37,2,145,87,0
37,3,145,86,0
41,3,145,85,0
41,3,145,84,0
42,3,145,83,0
42,3,145,82,0
43,3,145,81,0
43,3,145,80,0
43,3,145,79,0
44,3,145,78,0
44,3,145,77,0
44,3,145,76,0
46,3,145,75,0
46,3,145,74,0
46,3,145,73,0
